id,name,description,user_id,street_address,city,state,zip,capacity,date,deadline
1,Feedfire,"Bypass Thor Aorta Asc to Pulm Trunk w Autol Art, Open",310,1 Erie Way,San Diego,California,92191,51,2019-11-30 10:33:45,2019-11-17 08:22:56
2,Topicshots,"Bypass L Fem Art to Poplit Art w Autol Art, Perc Endo",76,32 Ludington Parkway,Atlanta,Georgia,30368,49,2019-12-16 11:46:06,2019-11-23 08:10:28
3,Roomm,"Drainage of Thymus with Drainage Device, Perc Endo Approach",803,13 Troy Junction,Richmond,Virginia,23228,39,2019-12-11 05:47:21,2019-11-08 23:44:50
4,Skipfire,"Bypass L Com Iliac Art to R Renal A w Autol Vn, Perc Endo",588,14551 Granby Junction,Lincoln,Nebraska,68524,8,2019-12-02 01:24:41,2019-11-02 21:44:33
5,Skimia,"Map Medulla Oblongata, Open Approach",76,8 Magdeline Circle,Albany,New York,12227,12,2019-12-17 11:54:54,2019-11-09 11:32:11
6,Yadel,"Supplement Left Toe Phalanx with Nonaut Sub, Perc Approach",894,5 Service Lane,Hartford,Connecticut,06145,36,2019-12-07 02:49:03,2019-11-24 15:54:01
7,Dynava,"Drainage of Left Subclavian Vein, Perc Endo Approach, Diagn",338,179 Esker Point,Santa Monica,California,90410,43,2019-12-12 15:58:07,2019-11-15 19:40:42
8,Tavu,"Replacement of L Up Femur with Autol Sub, Open Approach",193,2 Fulton Circle,Dallas,Texas,75216,25,2019-12-14 03:43:42,2019-11-02 10:56:46
9,Jaxbean,"Transfuse of Embr Stem Cell into Periph Vein, Open Approach",796,8 Fremont Center,Pensacola,Florida,32595,94,2019-12-25 06:38:33,2019-11-04 05:30:32
10,Twitterbeat,"Occlusion Bi Vas Deferens w Intralum Dev, Open",722,6 Sutherland Street,Mc Keesport,Pennsylvania,15134,41,2019-12-23 09:18:41,2019-11-25 05:25:53
11,Voolith,"Extirpation of Matter from Bladder Neck, Via Opening",584,17 Monterey Junction,Fort Worth,Texas,76147,32,2019-12-13 22:34:08,2019-11-16 13:00:06
12,Oyope,"Transplantation of Left Hand, Allogeneic, Open Approach",94,18 Karstens Center,Arlington,Virginia,22244,5,2019-11-30 06:18:21,2019-11-07 17:46:12
13,Shufflebeat,"Restrict of Sup Vena Cava with Intralum Dev, Open Approach",869,127 6th Way,Ridgely,Maryland,21684,88,2019-12-08 18:05:00,2019-11-05 11:58:17
